Tamanho do Pacote (bytes),Porta de Origem,Porta de Destino
91,52421,443
88,443,52421
91,52421,443
88,443,52421
214,59727,6667
91,52421,443
88,443,52421 
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
530,52421,443
95,443,52421
95,52421,443
214,59727,6667
91,52421,443
586,443,52421
101,52421,443
90,443,52421
85,443,52421
527,52421,443
88,443,52421
562,443,52421
85,443,52421
101,52421,443
95,52421,443
88,443,52421
95,443,52421
95,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
91,52421,443
88,443,52421
89,443,52421
91,52421,443
89,443,52421
91,52421,443
89,443,52421
91,52421,443
89,443,52421
91,52421,443
90,443,52421
66,55946,17301
55,55527,443
66,443,55527
66,17301,55946
54,55946,17301
82,55946,17301
54,17301,55946
54,55946,17301
54,55946,17301
54,17301,55946
91,52421,443
90,443,52421
214,59727,6667
91,52421,443
90,443,52421
529,52421,443
97,443,52421
95,52421,443
55,55677,443
66,443,55677
587,443,52421
101,52421,443
89,443,52421
528,52421,443
95,443,52421
95,52421,443
749,443,52421
89,443,52421
85,443,52421
101,52421,443
95,52421,443
88,443,52421
86,57621,57621
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
55,55705,443
66,443,55705
103,61380,3544
151,3544,61380
91,52421,443
88,443,52421
214,59727,6667
91,52421,443
88,443,52421
75,55703,443
86,443,55703
91,52421,443
88,443,52421
55,55777,443
66,443,55777
214,59727,6667
55,55688,443
66,443,55688
90,64199,17301
90,17301,64199
54,64199,17301
214,59727,6667
91,52421,443
88,443,52421
140,51355,443
657,51355,443
144,51355,443
370,443,51355
984,443,51355
115,443,51355
86,443,51355
93,51355,443
84,443,51355
93,51355,443
182,443,51355
94,51355,443
221,443,51355
213,443,51355
97,51355,443
805,52421,443
94,51355,443
87,443,51355
95,443,52421
95,52421,443
91,52421,443
581,443,52421
101,52421,443
85,443,52421
95,52421,443
88,443,52421
91,52421,443
88,443,52421
214,59727,6667
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
533,52421,443
88,443,52421
95,443,52421
95,52421,443
91,52421,443
587,443,52421
101,52421,443
85,443,52421
532,52421,443
88,443,52421
564,443,52421
101,52421,443
85,443,52421
95,443,52421
94,52421,443
88,443,52421
91,52421,443
87,5353,5353
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
167,57699,1900
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
